null,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
-1,0,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,1,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,2,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,3,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,4,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,5,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,6,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,7,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,8,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,9,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,10,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,11,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,12,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,13,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
-1,14,100,unetgan1,2,0,0,1,1,3,1,1,17,64,1
