null,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,num_of_layers,features,rain_type
-1,0,200,resgan3,0,0,0,1,1,20,64,1
-1,1,200,resgan3,0,0,0,1,1,20,64,1
-1,2,200,resgan3,0,0,0,1,1,20,64,1
-1,3,200,resgan3,0,0,0,1,1,20,64,1
-1,4,200,resgan3,0,0,0,1,1,20,64,1
-1,5,200,resgan3,0,0,0,1,1,20,64,1
-1,6,200,resgan3,0,0,0,1,1,20,64,1
-1,7,200,resgan3,0,0,0,1,1,20,64,1
-1,8,200,resgan3,0,0,0,1,1,20,64,1
-1,9,200,resgan3,0,0,0,1,1,20,64,1
-1,10,200,resgan3,0,0,0,1,1,20,64,1
-1,11,200,resgan3,0,0,0,1,1,20,64,1
-1,12,200,resgan3,0,0,0,1,1,20,64,1
-1,13,200,resgan3,0,0,0,1,1,20,64,1
-1,14,200,resgan3,0,0,0,1,1,20,64,1
-1,15,200,resgan3,0,0,0,1,1,20,64,1
